ID;Nome;Cognome;Data_Nascita;Email;Sport;Abbonamento;Scadenza_Certificato;Ultimo_Accesso;Scadenza_Abbonamento;Ban
121;Cristiano;Colombo;1979-09-17;cristiano.colombo13@yahoo.com;piscina;Trimestrale;2028-02-08;2026-02-07;2028-09-28;NO
122;Riccardo;Rossi;1991-08-14;riccardo.rossi79@yahoo.com;piscina;Trimestrale;2026-03-06;2025-11-25;2028-04-11;NO
123;Alice;Zappa;1993-11-01;alice.zappa79@icloud.com;piscina;Semestrale;2027-04-29;2025-05-23;2025-08-26;NO
124;Simone;Marino;2003-04-08;simone.marino69@gmail.com;piscina;Annuale;2027-02-19;2025-04-27;2027-12-02;NO
125;Giulia;Bianchi;1968-10-09;giulia.bianchi20@gmail.com;piscina;Mensile;2027-06-21;2025-02-20;2027-11-09;NO
126;Riccardo;Russo;1974-11-23;riccardo.russo9@gmail.com;piscina;Mensile;2028-01-12;2025-11-01;2026-08-19;NO
127;Simone;Marino;1997-09-25;simone.marino7@outlook.it;piscina;Mensile;2028-10-03;2025-05-28;2028-04-03;NO
128;Matteo;Bianchi;2003-09-01;matteo.bianchi15@outlook.it;piscina;Trimestrale;2027-08-23;2025-03-07;2026-01-06;NO
129;Sara;Gallo;2012-07-25;sara.gallo57@gmail.com;piscina;Semestrale;2026-04-03;2025-04-07;2028-11-13;NO
130;Matteo;Bianchi;1988-08-30;matteo.bianchi53@icloud.com;piscina;Mensile;2027-03-17;2025-12-08;2026-03-02;NO
131;Marco;Ferrari;1955-08-30;marco.ferrari31@yahoo.com;piscina;Annuale;2027-07-14;2025-12-11;2025-03-29;NO
132;Matteo;Ferrari;1977-04-14;matteo.ferrari12@gmail.com;piscina;Mensile;2027-07-14;2025-05-04;2026-01-04;NO
133;Alessandro;Marino;1973-07-26;alessandro.marino85@outlook.it;piscina;Annuale;2026-12-16;2025-05-15;2028-12-07;NO
134;Alessandro;Ferrari;1952-11-29;alessandro.ferrari4@yahoo.com;piscina;Annuale;2028-07-13;2025-09-09;2027-10-08;NO
135;Sara;Rossi;1968-04-22;sara.rossi99@gmail.com;piscina;Trimestrale;2026-05-15;2025-10-29;2026-05-09;NO
136;Beatrice;Marino;1997-10-18;beatrice.marino67@gmail.com;piscina;Mensile;2028-12-08;2025-03-01;2026-08-02;NO
137;Giulia;Zappa;1978-06-13;giulia.zappa69@yahoo.com;piscina;Mensile;2027-06-01;2025-11-09;2028-04-12;NO
138;Elena;Ricci;1970-10-12;elena.ricci69@icloud.com;piscina;Semestrale;2026-09-10;2025-05-04;2026-07-05;NO
139;Riccardo;Ricci;1972-07-15;riccardo.ricci41@outlook.it;piscina;Trimestrale;2027-12-07;2025-12-21;2027-05-28;NO
140;Sara;Gallo;2004-09-19;sara.gallo84@yahoo.com;piscina;Annuale;2028-09-25;2026-01-13;2026-10-17;NO
141;Matteo;Piccoli;1994-05-21;matteo.piccoli44@yahoo.com;piscina;Semestrale;2027-09-07;2025-12-17;2026-05-05;NO
142;Elena;Verdi;1964-02-27;elena.verdi88@icloud.com;piscina;Mensile;2027-10-21;2025-06-26;2027-12-28;NO
143;Alice;Russo;2002-07-16;alice.russo49@outlook.it;piscina;Semestrale;2026-07-06;2025-01-19;2027-01-13;NO
144;Elena;Rossi;1966-05-17;elena.rossi42@icloud.com;piscina;Semestrale;2026-03-23;2025-02-23;2025-08-05;NO
145;Chiara;Ferrari;1962-01-31;chiara.ferrari97@gmail.com;piscina;Semestrale;2027-02-02;2025-10-12;2027-11-23;NO
146;Chiara;Bianchi;1972-05-22;chiara.bianchi94@gmail.com;piscina;Semestrale;2028-12-13;2025-02-06;2026-10-25;NO
147;Alice;Verdi;1978-09-08;alice.verdi76@yahoo.com;piscina;Annuale;2027-05-18;2025-03-04;2027-01-24;NO
148;Valentina;Russo;1995-10-09;valentina.russo64@icloud.com;piscina;Trimestrale;2026-05-25;2025-07-14;2027-09-06;NO
149;Marco;Piccoli;1976-08-01;marco.piccoli10@icloud.com;piscina;Annuale;2026-05-13;2025-04-27;2026-04-26;NO
150;Sara;Romano;1999-05-20;sara.romano24@outlook.it;piscina;Semestrale;2027-01-10;2025-12-21;2025-09-06;NO
151;Beatrice;Piccoli;2008-03-08;beatrice.piccoli81@outlook.it;piscina;Mensile;2028-05-07;2025-10-04;2028-02-08;NO
152;Chiara;Ferrari;1977-09-14;chiara.ferrari62@gmail.com;piscina;Annuale;2027-09-15;2025-09-24;2026-05-25;NO
153;Marco;Bianchi;1989-01-21;marco.bianchi48@yahoo.com;piscina;Trimestrale;2026-11-25;2025-12-18;2027-06-24;NO
154;Alessandro;Verdi;1965-06-26;alessandro.verdi34@gmail.com;piscina;Semestrale;2027-09-21;2025-03-22;2026-05-10;NO
155;Alice;Marino;2013-10-31;alice.marino40@outlook.it;piscina;Annuale;2028-05-13;2025-03-10;2027-06-15;NO
156;Beatrice;Zappa;2014-05-10;beatrice.zappa87@outlook.it;piscina;Mensile;2027-04-18;2026-01-08;2026-08-22;NO
157;Marco;Piccoli;1957-01-20;marco.piccoli95@yahoo.com;piscina;Annuale;2027-02-05;2025-09-14;2028-08-31;NO
158;Riccardo;Gallo;1988-09-25;riccardo.gallo24@outlook.it;piscina;Trimestrale;2026-02-13;2025-02-11;2025-01-30;NO
159;Beatrice;Verdi;1970-07-12;beatrice.verdi76@gmail.com;piscina;Mensile;2027-10-06;2026-02-08;2025-08-20;NO
160;Elena;Colombo;1972-08-03;elena.colombo36@gmail.com;piscina;Semestrale;2028-09-06;2025-06-01;2026-05-10;NO
161;Alessandro;Marino;1949-04-11;alessandro.marino10@outlook.it;piscina;Annuale;2026-07-06;2025-01-16;2025-09-07;NO
162;Simone;Gallo;1999-02-21;simone.gallo13@gmail.com;piscina;Trimestrale;2026-07-21;2025-02-20;2027-02-09;NO
163;Davide;Conti;1986-03-17;davide.conti25@outlook.it;piscina;Annuale;2026-03-08;2025-07-16;2027-09-10;NO
164;Simone;Verdi;2015-09-25;simone.verdi52@outlook.it;piscina;Trimestrale;2028-02-25;2025-10-29;2027-06-07;NO
165;Simone;Gallo;1990-01-18;simone.gallo24@icloud.com;piscina;Semestrale;2026-10-25;2025-05-23;2025-02-02;NO
166;Giulia;Romano;1971-05-01;giulia.romano6@icloud.com;piscina;Annuale;2028-02-06;2025-10-09;2027-07-20;NO
167;Giulia;Conti;2006-06-02;giulia.conti90@yahoo.com;piscina;Annuale;2026-09-24;2025-05-19;2027-10-17;NO
168;Alice;Marino;1946-04-13;alice.marino50@icloud.com;piscina;Mensile;2028-01-16;2025-11-25;2028-06-19;NO
169;Sara;Piccoli;1981-01-05;sara.piccoli7@icloud.com;piscina;Semestrale;2028-10-25;2025-03-16;2026-06-28;NO
170;Valentina;Marino;1974-07-06;valentina.marino75@yahoo.com;piscina;Trimestrale;2026-10-07;2025-03-15;2025-09-27;NO
171;Valentina;Verdi;1950-07-30;valentina.verdi17@icloud.com;piscina;Trimestrale;2027-03-19;2025-03-05;2025-10-14;NO
172;Cristiano;Conti;1990-04-26;cristiano.conti21@gmail.com;piscina;Mensile;2026-02-09;2025-03-22;2026-10-31;NO
173;Beatrice;Ferrari;1966-09-06;beatrice.ferrari54@gmail.com;piscina;Semestrale;2027-07-05;2025-12-19;2026-04-16;NO
174;Sara;Ferrari;1977-03-29;sara.ferrari62@icloud.com;piscina;Mensile;2028-02-04;2025-09-23;2027-12-10;NO
175;Beatrice;Zappa;2012-09-07;beatrice.zappa71@yahoo.com;piscina;Mensile;2027-11-29;2025-02-16;2027-04-10;NO
176;Valentina;Colombo;1950-05-08;valentina.colombo82@yahoo.com;piscina;Mensile;2026-05-13;2025-12-02;2027-02-10;NO
177;Riccardo;Romano;1949-08-02;riccardo.romano85@gmail.com;piscina;Annuale;2027-08-06;2025-06-15;2028-01-19;NO
178;Alice;Ricci;1978-04-16;alice.ricci70@gmail.com;piscina;Trimestrale;2028-03-17;2025-05-15;2027-08-07;NO
179;Valentina;Moretti;2003-02-17;valentina.moretti74@icloud.com;piscina;Mensile;2027-05-24;2025-10-29;2027-03-03;NO
180;Matteo;Colombo;1982-06-05;matteo.colombo33@yahoo.com;piscina;Annuale;2028-10-08;2025-12-17;2026-09-30;NO
181;Marco;Rossi;1989-08-21;marco.rossi54@yahoo.com;piscina;Trimestrale;2026-05-02;2025-09-11;2025-07-15;NO
182;Marco;Russo;1973-12-09;marco.russo71@gmail.com;piscina;Semestrale;2026-08-05;2025-06-25;2026-10-17;NO
183;Marco;Romano;1948-08-26;marco.romano18@outlook.it;piscina;Mensile;2026-04-17;2025-03-13;2028-07-13;NO
184;Giulia;Colombo;1998-09-19;giulia.colombo71@icloud.com;piscina;Trimestrale;2026-12-28;2025-10-01;2026-11-02;NO
185;Riccardo;Gallo;1983-11-17;riccardo.gallo8@yahoo.com;piscina;Mensile;2027-10-23;2025-06-06;2026-06-02;NO
186;Elena;Conti;1964-09-04;elena.conti9@icloud.com;piscina;Annuale;2026-08-05;2025-11-17;2027-11-29;NO
187;Riccardo;Verdi;1994-06-05;riccardo.verdi65@gmail.com;piscina;Trimestrale;2026-10-15;2025-04-13;2025-07-07;NO
188;Valentina;Verdi;1969-09-11;valentina.verdi60@outlook.it;piscina;Semestrale;2027-04-05;2025-04-14;2025-08-28;NO
189;Davide;Zappa;1967-07-13;davide.zappa29@yahoo.com;piscina;Annuale;2027-07-23;2025-10-11;2027-04-04;NO
190;Simone;Romano;2011-09-14;simone.romano48@yahoo.com;piscina;Mensile;2028-06-19;2025-05-19;2027-12-08;NO
191;Valentina;Conti;1973-04-08;valentina.conti42@icloud.com;piscina;Trimestrale;2027-12-26;2025-10-31;2027-07-26;NO
192;Giulia;Colombo;1980-04-01;giulia.colombo26@outlook.it;piscina;Semestrale;2028-12-09;2025-03-17;2026-08-17;NO
193;Valentina;Rossi;1981-03-28;valentina.rossi11@yahoo.com;piscina;Mensile;2027-10-03;2025-08-29;2027-05-12;NO
194;Alice;Conti;1996-09-19;alice.conti9@outlook.it;piscina;Mensile;2027-09-24;2025-06-20;2026-10-26;NO
195;Chiara;Russo;1948-12-16;chiara.russo86@gmail.com;piscina;Mensile;2028-07-03;2025-12-16;2026-10-02;NO
196;Marco;Russo;1964-09-17;marco.russo93@outlook.it;piscina;Annuale;2027-12-04;2025-06-23;2027-10-14;NO
197;Valentina;Zappa;1991-02-18;valentina.zappa23@gmail.com;piscina;Mensile;2026-11-05;2025-05-13;2026-07-19;NO
198;Elena;Gallo;1995-01-16;elena.gallo33@yahoo.com;piscina;Mensile;2027-09-22;2026-01-19;2027-08-26;NO
199;Beatrice;Conti;2015-03-31;beatrice.conti42@yahoo.com;piscina;Semestrale;2027-11-08;2025-09-01;2026-02-24;NO
201;Cristiano;Gallo;1983-08-24;cristiano.gallo18@icloud.com;piscina;Trimestrale;2026-10-16;2025-07-23;2027-04-23;NO
210;Alice;Zappa;2012-11-02;alice.zappa12@icloud.com;piscina;Semestrale;2028-11-11;2025-01-25;2028-06-20;NO
211;Elena;Zappa;1976-09-26;elena.zappa53@yahoo.com;piscina;Trimestrale;2026-07-15;2025-03-20;2026-10-19;NO
212;Elena;Piccoli;1958-02-25;elena.piccoli23@yahoo.com;piscina;Mensile;2027-03-06;2025-08-05;2028-04-02;NO
213;Chiara;Colombo;1967-04-19;chiara.colombo33@gmail.com;piscina;Mensile;2028-06-18;2025-12-01;2026-02-10;NO
214;Marco;Bianchi;1953-04-13;marco.bianchi52@gmail.com;piscina;Annuale;2026-11-27;2025-03-12;2028-07-07;NO
215;Alessandro;Piccoli;1951-04-23;alessandro.piccoli22@gmail.com;piscina;Trimestrale;2028-06-27;2026-01-09;2025-09-17;NO
216;Matteo;Marino;1975-03-05;matteo.marino96@icloud.com;piscina;Trimestrale;2027-09-09;2025-10-31;2025-09-17;NO
217;Alessandro;Ferrari;1956-04-10;alessandro.ferrari80@gmail.com;piscina;Semestrale;2028-05-25;2025-04-23;2028-12-23;NO
218;Elena;Ricci;2002-05-12;elena.ricci78@icloud.com;piscina;Mensile;2027-10-11;2025-05-24;2025-12-05;NO
219;Alice;Ferrari;1998-12-11;alice.ferrari5@outlook.it;piscina;Annuale;2027-08-15;2025-11-28;2027-12-07;NO
221;Chiara;Conti;1958-02-15;chiara.conti68@yahoo.com;piscina;Trimestrale;2027-03-15;2025-08-25;2028-05-02;NO
231;Alessandro;Romano;1965-06-19;alessandro.romano75@yahoo.com;piscina;Mensile;2027-09-22;2026-01-02;2025-01-16;NO
241;Cristiano;Colombo;1986-11-26;cristiano.colombo51@outlook.it;piscina;Mensile;2028-03-31;2025-03-02;2027-02-04;NO
251;Giulia;Colombo;2002-10-31;giulia.colombo95@gmail.com;piscina;Trimestrale;2027-11-20;2025-07-03;2026-07-21;NO
261;Cristiano;Rossi;1983-12-21;cristiano.rossi88@gmail.com;piscina;Mensile;2026-08-05;2025-08-19;2025-04-10;NO
271;Alessandro;Verdi;1988-03-13;alessandro.verdi30@gmail.com;piscina;Trimestrale;2026-03-23;2025-09-03;2025-10-30;NO
281;Cristiano;Ferrari;1979-05-21;cristiano.ferrari28@outlook.it;piscina;Semestrale;2027-07-14;2026-01-03;2026-11-14;NO
291;Giulia;Russo;1996-01-21;giulia.russo27@gmail.com;piscina;Semestrale;2027-11-13;2025-02-08;2027-09-03;NO
301;Marco;Russo;1977-06-27;marco.russo85@icloud.com;piscina;Trimestrale;2026-11-05;2025-08-20;2027-02-03;NO
310;Simone;Ricci;1976-05-22;simone.ricci63@yahoo.com;piscina;Annuale;2028-05-23;2026-01-02;2025-02-15;NO
311;Sara;Zappa;1998-05-09;sara.zappa76@outlook.it;piscina;Mensile;2028-06-26;2025-10-11;2026-01-11;NO
312;Alice;Gallo;2004-04-11;alice.gallo57@icloud.com;piscina;Trimestrale;2026-06-19;2025-02-15;2026-10-05;NO
313;Sara;Marino;1982-05-22;sara.marino3@gmail.com;piscina;Semestrale;2026-12-22;2025-10-26;2028-09-19;NO
314;Valentina;Verdi;1964-02-20;valentina.verdi38@gmail.com;piscina;Annuale;2026-06-30;2025-06-24;2027-03-10;NO
315;Elena;Moretti;2008-06-18;elena.moretti75@icloud.com;piscina;Trimestrale;2026-12-21;2026-02-08;2025-02-02;NO
316;Cristiano;Ferrari;1999-05-29;cristiano.ferrari24@gmail.com;piscina;Trimestrale;2027-06-02;2025-04-07;2027-04-06;NO
317;Giulia;Ferrari;1951-06-03;giulia.ferrari48@icloud.com;piscina;Semestrale;2027-04-27;2025-07-24;2028-07-17;NO
318;Alessandro;Conti;2004-06-29;alessandro.conti66@gmail.com;piscina;Trimestrale;2027-12-17;2025-11-04;2025-12-29;NO
319;Davide;Piccoli;1988-12-03;davide.piccoli28@icloud.com;piscina;Mensile;2026-08-13;2025-04-04;2026-12-20;NO
321;Simone;Ricci;1961-08-27;simone.ricci25@icloud.com;piscina;Annuale;2027-09-26;2025-04-29;2027-09-07;NO
331;Davide;Marino;1967-03-30;davide.marino19@outlook.it;piscina;Semestrale;2028-07-16;2025-08-10;2028-02-10;NO
341;Valentina;Romano;2012-01-15;valentina.romano21@icloud.com;piscina;Semestrale;2028-11-07;2025-01-10;2027-04-06;NO
351;Elena;Bianchi;2001-05-07;elena.bianchi93@outlook.it;piscina;Annuale;2026-09-13;2025-12-31;2026-06-20;NO
361;Giulia;Moretti;2002-03-22;giulia.moretti73@icloud.com;piscina;Annuale;2028-06-01;2025-09-24;2028-05-19;NO
371;Beatrice;Romano;2004-12-07;beatrice.romano15@yahoo.com;piscina;Mensile;2027-11-07;2025-04-13;2026-10-12;NO
381;Beatrice;Marino;1981-09-01;beatrice.marino44@gmail.com;piscina;Trimestrale;2028-07-30;2025-04-26;2027-02-01;NO
391;Sara;Romano;1983-01-23;sara.romano50@icloud.com;piscina;Semestrale;2028-09-07;2025-05-02;2027-10-18;NO
1;Sara;Moretti;1955-12-04;sara.moretti32@outlook.it;Palestra;Mensile;2026-09-09;2025-03-08;2025-09-17;NO
10;Marco;Moretti;1955-10-19;marco.moretti54@outlook.it;Palestra;Annuale;2028-02-19;2025-07-21;2028-04-19;NO
11;Valentina;Bianchi;2001-05-14;valentina.bianchi22@gmail.com;Palestra;Trimestrale;2027-03-05;2026-02-08;2025-04-12;NO
12;Marco;Verdi;1987-09-01;marco.verdi3@yahoo.com;Palestra;Mensile;2026-10-18;2025-05-10;2026-04-21;NO
13;Sara;Piccoli;1960-08-04;sara.piccoli51@outlook.it;Palestra;Semestrale;2028-01-22;2026-01-06;2025-05-31;NO
14;Beatrice;Rossi;1969-05-20;beatrice.rossi82@gmail.com;Palestra;Mensile;2027-11-07;2025-03-04;2028-10-24;NO
15;Alice;Ferrari;1974-11-18;alice.ferrari10@gmail.com;Palestra;Annuale;2027-06-01;2025-09-03;2025-03-24;NO
16;Cristiano;Marino;2004-11-07;cristiano.marino67@yahoo.com;Palestra;Annuale;2028-11-18;2025-03-15;2028-12-02;NO
17;Chiara;Verdi;1970-05-09;chiara.verdi57@outlook.it;Palestra;Mensile;2028-08-10;2025-08-16;2025-12-06;NO
18;Sara;Bianchi;1986-02-25;sara.bianchi83@icloud.com;Palestra;Annuale;2026-11-14;2025-12-07;2028-07-09;NO
19;Chiara;Ferrari;1964-02-13;chiara.ferrari82@gmail.com;Palestra;Trimestrale;2028-07-19;2025-05-18;2027-06-17;NO
21;Marco;Ferrari;1958-07-18;marco.ferrari17@gmail.com;Palestra;Mensile;2027-06-14;2025-04-18;2026-07-24;NO
31;Riccardo;Conti;1972-02-09;riccardo.conti79@gmail.com;Palestra;Annuale;2028-12-26;2025-05-17;2025-09-03;NO
41;Chiara;Marino;1976-06-07;chiara.marino3@outlook.it;Palestra;Trimestrale;2026-03-07;2025-12-14;2026-02-21;NO
51;Valentina;Marino;1959-09-30;valentina.marino95@outlook.it;Palestra;Annuale;2028-06-16;2025-11-09;2025-05-21;NO
61;Sara;Conti;2002-08-29;sara.conti64@outlook.it;Palestra;Semestrale;2026-04-08;2025-10-11;2025-05-21;NO
71;Simone;Conti;1984-08-31;simone.conti73@outlook.it;Palestra;Mensile;2027-10-21;2025-02-04;2028-10-27;NO
81;Davide;Rossi;1964-12-26;davide.rossi60@yahoo.com;Palestra;Trimestrale;2027-09-28;2025-08-26;2028-09-28;NO
91;Sara;Ferrari;1991-01-08;sara.ferrari41@icloud.com;Palestra;Trimestrale;2027-10-30;2025-09-10;2026-07-14;NO
100;Matteo;Gallo;1991-09-15;matteo.gallo61@icloud.com;Palestra;Semestrale;2028-10-13;2025-11-30;2027-12-15;NO
101;Alice;Ferrari;1983-11-14;alice.ferrari62@outlook.it;Palestra;Trimestrale;2027-12-06;2025-03-05;2028-02-24;NO
102;Riccardo;Moretti;2007-12-01;riccardo.moretti71@gmail.com;Palestra;Annuale;2026-04-16;2025-11-03;2028-04-02;NO
103;Davide;Colombo;1970-01-09;davide.colombo68@outlook.it;Palestra;Semestrale;2028-09-13;2025-05-02;2025-03-09;NO
104;Chiara;Conti;2008-07-30;chiara.conti46@gmail.com;Palestra;Semestrale;2028-06-20;2025-12-17;2028-01-02;NO
105;Chiara;Russo;1963-09-14;chiara.russo84@gmail.com;Palestra;Annuale;2026-04-07;2025-04-28;2028-10-28;NO
106;Riccardo;Ferrari;1987-02-15;riccardo.ferrari41@outlook.it;Palestra;Mensile;2026-02-17;2025-06-09;2026-04-30;NO
107;Elena;Moretti;1974-12-17;elena.moretti36@icloud.com;Palestra;Trimestrale;2028-03-02;2025-09-13;2027-03-08;NO
108;Elena;Rossi;1997-11-20;elena.rossi58@outlook.it;Palestra;Trimestrale;2028-06-22;2025-02-08;2028-08-19;NO
109;Sara;Zappa;1960-08-07;sara.zappa84@gmail.com;Palestra;Semestrale;2026-05-03;2025-05-25;2028-11-27;NO
110;Simone;Romano;1984-07-26;simone.romano97@gmail.com;Palestra;Trimestrale;2027-03-25;2025-12-17;2027-05-25;NO
111;Simone;Piccoli;1951-03-08;simone.piccoli89@yahoo.com;Palestra;Mensile;2028-12-20;2025-06-20;2027-07-17;NO
112;Matteo;Colombo;2000-02-08;matteo.colombo7@icloud.com;Palestra;Mensile;2027-09-24;2025-11-30;2026-04-11;NO
113;Marco;Ricci;2004-01-04;marco.ricci39@yahoo.com;Palestra;Mensile;2027-12-22;2025-08-13;2025-08-15;NO
114;Riccardo;Ricci;1959-06-30;riccardo.ricci91@yahoo.com;Palestra;Semestrale;2028-05-01;2025-04-27;2028-12-07;NO
115;Alice;Zappa;1952-08-30;alice.zappa91@outlook.it;Palestra;Trimestrale;2027-07-01;2025-04-10;2027-11-22;NO
116;Riccardo;Ferrari;1959-08-14;riccardo.ferrari62@yahoo.com;Palestra;Trimestrale;2028-09-09;2025-01-30;2026-03-30;NO
117;Giulia;Bianchi;1982-12-24;giulia.bianchi14@yahoo.com;Palestra;Mensile;2028-05-05;2025-05-06;2028-09-07;NO
118;Valentina;Bianchi;2004-12-25;valentina.bianchi19@gmail.com;Palestra;Mensile;2026-07-15;2025-11-15;2028-01-24;NO
119;Davide;Verdi;1993-09-13;davide.verdi81@gmail.com;Palestra;Annuale;2026-06-30;2026-01-08;2027-09-20;NO
120;Elena;Romano;2010-12-27;elena.romano91@gmail.com;Palestra;Mensile;2028-07-01;2025-01-13;2026-10-25;NO
121;Beatrice;Ricci;1971-09-02;beatrice.ricci35@gmail.com;Palestra;Trimestrale;2027-02-08;2025-01-19;2027-08-14;NO
122;Chiara;Ferrari;2004-03-06;chiara.ferrari45@gmail.com;Palestra;Trimestrale;2027-03-30;2025-05-30;2026-07-02;NO
123;Giulia;Gallo;1976-06-01;giulia.gallo66@icloud.com;Palestra;Mensile;2028-09-15;2025-08-04;2025-01-23;NO
124;Valentina;Russo;1966-01-16;valentina.russo45@yahoo.com;Palestra;Trimestrale;2026-05-11;2025-11-29;2026-04-06;NO
125;Matteo;Ferrari;1961-02-27;matteo.ferrari86@yahoo.com;Palestra;Mensile;2027-01-02;2025-07-10;2027-04-27;NO
126;Davide;Rossi;1989-02-19;davide.rossi39@icloud.com;Palestra;Semestrale;2027-04-21;2025-05-03;2026-11-21;NO
127;Beatrice;Ferrari;1983-06-19;beatrice.ferrari70@yahoo.com;Palestra;Annuale;2026-11-23;2025-11-01;2028-07-27;NO
